augmented_tweet,label
"['Watch students scream the same, "" Azadi "" on Tandav these days, a instead transfix show on scholarly person politics, administration political sympathies, farmers protestation, media and the dance (tandav) between them and other constituent that creates a nation.']",1
['# UttarPradesh Chief Minister # YogiAdityanath won Indian Of The Year 2022 Award In Political relation family for his mega triumph in UP assembly election 2022 # IndianOfTheYear https: / / deoxythymidine monophosphate. atomic number 27 / CUj1I883pC'],1
"['@ mohandastg What should embody give precedence? The Indian Constitution surgery "" Indian Kin System ""? Reconciliation acts works comfortably in politics but cannot be forever maintain while deliver verdicts! !!']",1
['@ iamwhatiam300 I make up working with a mountain of Indians especially those world health organization came from the state of Kerala. 1 never heard them discuss about Indian politics. Their main concern be how to make money and where to set their investments.'],1
"[""@ kaushikcbasu Reverse your statement with facts, Indian Saving is doing easily so minorities are not marginalized which shows in that location is no dissentious politics around it cost unethical to get give crowd to tantalize around Pappau ' reciprocal ohm Bharat Darshan Yatra.""]",0
"[""@ ANI Your party got emotionally charge mandate after the demolition of Babri Mosque in 1992. Your party literally destroyed India ' s peace and unity and plunged information technology into atmosphere of hate and violence to remain alive in Indian politics. You ' re hell bent on eliminating opposite.""]",1
"[""@ jazzydomenique The National Museum of the American Indian has the best cafeteria food + sojourn top floor for history of tribes & ampere; statesmanship. In President adams Morgan you hind end visit famous Ben ' s Chili Bowling ball & amp; also do walking tour of black history. In Dupont Circle there exist a walking tour around women ' s orgs.""]",0
"[""Extinct of all the snipping Ane ' ve gather up over the past duet of months, this one stands out. Talk a peck astir the fundamental character of Indian psyche and how it interacts with politics. https: / / t. cobalt / YJ310xwuFR""]",1
"[""Adani exports power to Bangladesh. Adani is as well developing the West Container Terminal in Capital of sri lanka Port collectively with a Sri Lankan partner. Both incidents show why Adani be an Indian developer. No Indian ship's company has resisted international critique and political science like Adani""]",1
"['@ JeffHorwitz @ thewire_in Meta, Google, Alex, Siri the king hungry tracker of the earthly concern. Why constitute you tracking and steal data. This is a severance into Indian politics, for the gain of the corporates. Stricter rules be needed.']",1
['@ GeorgeTakei Yet you plunk for Elizabeth ii Rabbit warren who incorrectly claimed to be American Indian in an effort to gain an reward. This is why citizenry hate politics. Atomic number 5 / c of clowns who only call balls & amp; strikes on people they oppose politically. Gross out Sad!'],1
"[""Press mute for Amerindic Muslims â € ” how Gujarat flogging shows up â € ˜ secularâ € ™ silence of Indian politics Only BJPâ € ™ s challenger have become so scared of being seen as Muslim - friendly that theyâ € ™ d rather duck's egg. hypertext transfer protocol: / / t. co / jhPJGiLUN6 via @ ThePrintIndia""]",1
"['Over the period of time, Indian law enforcement among former counterparts might have progressed, still the widespread subversion in the Amerind system prevails whereas the justice organisation is sluggish and hence the politics in un - political Interpol. INTERPOL must not lose its prominence. https: / / t. centennial state / sfKejiCzT9']",1
['@ AdvaitaKala Is she getting into tweet for payment? Does she know what live Republic of india and her people? She well stick to her game and not make into indian government.'],1
"['This is gauze like political science. This is what they fare in the world cup too. Indian women cricket have literal things that is generally rumoured about Amerindic men cricket like Rifts, political relation, dressing room issues etc. Etc etc']",1
"[""Birthday greetings to the King of Million Hearts, the Undefeated leader in the Country, the Tall Man in Indian Politics, heartthrob of 4. 5 Cr Odia Hoi polloi, Mr. 360Â ° in administration, a Saint in his public life, Hon ' ble Chief Curate of # Odisha, Shri Naveen Patnaik Babu. https: / / t. co / WUYpCT4U1A""]",0
"[""A usual colonized American indian language who abhors talking on religion & amp; Government simply to end up in ' Leicester similar situation ' In case u have written this to sound intellectual, then believe me that u have ended upwards other than.""]",1
"[""Clearing things upwardly, in case anyone is stupid enough to believe the things exist said about me. - Yes, I ' ve admonish multitude about Cine ' s targeting of disabled and trans streamers. - Yes, I reject of Hindu nationalism. If you don ' t bonk wherefore, read up on Indian domestic politics.""]",1
"['Today, somebody of Amerind origin are playing vital is running the Govt in US & amp; UK but is India criminal characters embody increasing in politics as lucrative, life long career to avail kingly quickness at poor man price due to non participation of well educated class in politics. . https: / / tetraiodothyronine. co / f9kA8DiGA9']",1
['Netflix India has made a web series point our Hindu faith. It has bruise the opinion of whole the masses.'],0
"[""not to b cringy but being a first gen sometimes it ' s surd to voyage indian political relation and it makes maine feel disconnected""]",1
"['Adept wish on # TeachersDay, an social function to express gratitude to all teachers who shape young mind.']",1
['Happy Birthday anniversary APJ Kalam. You volition constitute remember as one of the hunky dory presidents in Amerind politics. Certainly in top 3.'],1
"['@ pawobi BJP order of business of promoting extremist outlook Hindooism, luring masses by spending on building / visit temples and spending 100000 of crores. Ignoring large numbers of poor Indian citizens who are forced to live below POVERTY line, majority cancelled trend are Hindus. Dirty politics. .. ..']",1
['Fact that hoi polloi think export $ 10 billion worth software services takes more capabilities than doing a Green rotation operating theatre edifice the Indian Railroad seems to embody the root of issue plaguing politics of this country today The disaster is the top software smarts think this fashion'],1
"['@ Swamy39 Dear Dr. Swami, you are the richard neville of Native american politics and your words are "" Brahmavakya "" for every intellectual. So it embody not necessary to you criticize on everything. Especially, when something is in its experimental phase. .. MBBS hindi. You are a patriot statesman to us. OM']",1
"['@ NitishKumar dear sir, please take some revered historians / successful personalities from Bihar to save playscript and several book on Bihar. It be on creation or geography beaver state contribution in Indian politics / bureaucratism or may be on touristry. In Hindi English and Urdu voice communication.']",1
"['These two photograph and the video will tell us, how Drones could alleviate the distress of flood victims by dropping the substantive needs into their hands. Around forty five monotone be in rescue operations. We have to appreciate Hon. CM @ ncbn garu for come up innovative ways to aid']",1
['bang a sniper gon do when a nigga start shoot from b - hall'],0
"[""Sisodia & amp; Jain today ' s Bhagat Singh ': Kejriwal defend his leaders. This fraud, greatest liar ever born in Indian Politics. Loss leader of a fraud, chess, corrupt party is now maligning one of the greatest freedom fighter. These scamsters should embody in Tihar https: / / t. conscientious objector / eS6Gafu90O""]",0
"[""@ Martina @ _antithesis_1 Yes, we represent again voting for Mister Modi in 24 to power against the pseudo dynasty who believe that Bharat is their all time slaves, yes, we will formulate slowly only preserve that family control over India away from ruling us Please don ' t dig in your running nose into Indian politics""]",1
"['Gwalior, the province capital of Madhya Pradesh, is an important cultural, industrial, and political hub. The # NewTerminalAtGwaliorAirport will puddle travel more than simpler for local. Together, @ Chouhanshivraj and Jyotiraditya are a brawny force in Indian politics http: / / thyroxin. co / K7gJVtdUkx']",1
['bitches give birth all the mouthpiece in the world finish workweek but now bitches ask a band'],0
['Wikipedia thomas nelson page says that Vinesh Phogat exist the solitary athlete in the world to have won a amber medal by Khap Panchayats.'],1
['Bitch he tore her ass upward'],0
['Yea you would have to jump me bitch Atomic number 53 ’ ll knock your bad work up ass cancelled them tooth picks'],0
['Why serve we fall sir? To Arise? ? Nah squawk to fukin formula!!'],0
"['Over the period of time, Native american police force enforcement among other counterparts might get progressed, still the far flung corruption in the Indian system prevails whereas the jurist system is sluggish and so the political science in un - political Interpol. INTERPOL mustiness not lose it prominence https: / / t. co / 9CeS351BrS']",1
['World health organization the fuck is driving on Iodin - 90 future to me bruh'],0
"['@ KapilMishra_IND He is the biggest turn in Indian politics, world health organization fool the enlightened people of Republic of india. Sooner people realise this, good for our own future and for security, unity and integrity of our country.']",1
['I be be used as a thumbnail that look like Im bear on hatred for that woman Fuck you Asmongold'],0
"['This bastard make up monitoring her social sensitive, ever commenting on her picture.']",0
['@ ZeeMohamed_ @ DHGaikwad12 @ ShekharGupta India is a Hindu nation - wherefore was this imp aspect of India kept under wraps place Independence? Being Hindu is non be Layperson - why be this mischevious narrative foisted on Indian citizens? Republic of india has not abandoned Worldly politics. It has abandoned politics of appeasement'],1
['Native american diary keeper are bastard'],0
['Shibboleth # betipadaobetibacho give by Shri @ narendramodi is empty and fake. The players being sexullay provoke be a shame. . foe the entire country.'],0
['@ NueplexCinemas stop destroy the local film business you are bending backward to screen Indian motion picture show but when information technology occur to Pakistani motion picture show you play filthy politics shame on you'],1
['Embolden that an Indian voice in the form of Priyanka Chopra has show her livelihood to the inspirational Malala Yousafzai boosting her image in the Indian public showing solidarity in the India / Pakistan front. Women Unite together above political relation! https: / / deoxythymidine monophosphate. co / jLT7QtR1LY'],1
['Mann a nigga sexullay frustrated b complex'],0
['India for you … …. And shame on the fucking juridic system of rules of this country Who the piece of tail is safe here??'],0
"['@ sbabones We donâ € ™ mt trust western index any more after the fiasco since Feb. If someone talks astir them hither, they are paid to sabotage Indian politics from within. So it has no effect on us whatsoever. We pot access real local data with RTI']",1
"['European data is some time not correct, as they know that our data influence Native american politics so the qualify data shared. We should control the whole pictures to understand this. As per European, we are far back in medical fi, but we be the one who help accross globe.']",1
"[""Now our Native american libruz, left winger and Izlamists english hawthorn be rejoice due to the hate which opindia is experience from their western far - left and Izlamist daddies. But thing they can ' t fulfill that shutting down the opindia ' s piece of work which exposes the toxic politics or lefto - jihadiz.""]",0
"['Machine driver Makdoom tried to rape & mutilate a tribal woman in Asifabad, Telangana. The situation is tense in that region, Owais is likewise on ground.']",0
"[""If we ignore Indian Union ' s language government (which equal driving this ), from a strictly Hindi pov this is good. Loanword watchword are very common and be in no way a dilution of a language (defined principally by grammar etc ). And English loan here is how native Hindi would speak.""]",1
['Moslem attempted brassica napus and murder on Tribal Woman.'],0
"['At a time of unprecedented global flux, new structures of spheric governance will come out and # India is at the heart of most of these. This personify a transformative here and now in global politics, and in Native american # foreignpolicy aspiration: Harsh V Gasp https: / / t. co / nHxV0Y56L3']",1
['Fideos con violation'],1
"[""I make said this before also and will repeat. The biggest myth of Amerind political sympathies is that AAP is a secular party. From supporting Kashmir eradication to Ayodhya politics. There have been multiple examples of this political party ' s ingeminate Hindoo appeasement tactics. Neoliberals never learn https: / / t. co / 4jc0buyvLZ""]",1
['Is atomic number 2 not a bastard among america the Yoruba. .. so what your trouble with harry calling him a mother fucker'],0
"['Atomic number 53 told Modi, issue of attacks on Hindu exaggerate. These attack are political and not communal. And India is pass around these incidents in a big way.']",0
"[""Dirty politics of AAP to fool Hindus 11. 40 AM - Kejriwal in microcomputer exact images of Lakshmi Ganesh on Indian currency 1. 30PM - Atishi in microcomputer said BJP & ampere; Modi r anti Hindu as they ' ve turn away to Print Ganesh Lakshmi on notes two. 10PM - Sisodia order anti Hindu BJP is Opposing Cont..""]",0
['Shameless and jealous Pakistani “ journalists ” now point the wife of Arshad Nadeem. This cleaning woman who be they take to be Arshad Nadeem ’ s married woman is actually a diarist.'],0
['The blood soaked basal bangladeshi boost openly in front of Bangladeshi Army that he brutally killed pagan (clean handed Utsav )'],0
"[""@ HinduRaj2047 Freud allege politics be an expression for innate sexual desire. Just like 500 ' Souza sahib does his charade to have yt women, Indian Islamophiles want M puss too. Sole difference is white wimmin have a higher chance of putting stunned than Muz ethnicities towards Pjts (relative ).""]",0
['# Horrific A Hindoo extremist call Abhishek viciously killed a girl from Bihar in Bengaluru. Alarming rise in murder of women in India.'],0
"['This is the fount of the 18 year old Hindoo boy named Utsav Mondol who was bru - tally keeled by Bangladeshi Mu - $ lims on charge of desecration. The incident took plaza on 4th September at 11: 45 pm in Khulna. The tiddler had apparently establish a FB office on the Poppet, which was claimed to be ‘ derogatory. ’']",0
"['@ BobBlackman "" It equal becoming clear that the Labour Party has get an anti - Indian, anti - Hindu party which is not concerned in building a friendly relationship with the world \' \' entropy largest democracy but rather want to import the political sympathies of the subcontinent to the UK for its']",1
"['Bangalore locals are the shittiest, most illiberal, most egoistic ass holes of Republic of india. Roo many bad experiences, personal and of close ones. Shag your shit kannada speech and your shitty acculturation. A city nothing without IT people from all over country']",0
"['Celebrating our unsung heroes, who pass us through with our life sentence without expect anything in recurrence.']",1
"['Sports meeting Instagram influenza Kajal Pandey, world health organization is shamelessly making playfulness of a sensitive topic like rape in her reel, and she be also trying to normalise this heinous act.']",0
"['Simply translating English words into Hindi Devanagari script and call it MBBS in Hindi is definitely symbolical of Jumla politics of BJP. With every step, they are taking Indian breeding to new depth']",1
['These ugly ass Due north words fall in India a bad epithet'],0
"['At the Delhi Seller Conclave, it ’ s clear that merging traditional commerce with e - commerce is central for continuous ontogeny. This helps create local economies while carry on culture. Brands alike Flipkart live always finding the right balance in patronage.']",1
"['Uttar Pradesh, Sitapur: In a shocking incident A 70 year sometime Mohd Anwar arrested under POCSO enactment for molesting minor girls after a video of him molesting a minor tribal fille run viral on social media.']",0
"['Aamir Khan is always see in roles against Hindus, does he give birth the braveness to play a theatrical role against Muhammadanism?']",0
"['I commonly ignore such comments, just sometimes it ’ s truly necessary to account them to the authorities. Meet Shubham Sahni from Sri Ganganagar Metropolis, who abuses pine tree state for no understanding and keeps place derogatory comments about Hinduism.']",0
"['@ BCCI Tripathi, Patidar forward of Sanju Samson really? Sanju Samson average lxxxiii & amp; SR 107 in ODI 2022 pity on you. Politics has ruined Amerindic cricket ðŸ ‘ ŽðŸ \x8f »']",1
"['Ravindra Jadeja Wife Politics: Rivaba, wife of cricketer Ravindra Jadeja, divvy up the bill sticker for publicity, seeing Jadeja in the Native american t shirt, the buff got agitated â € “ CheckÂ Out https: / / t. co / YPUmewbC1r']",1
"['With new fulfilment centers in Varanasi and Unnao, Flipkart is creating opportunities for MSMEs, artisans, and farmers to reach a wider hearing, supporting job initiation across sectors. This expansion pit a significant development for local economies and communities. Truly commendable work']",1
"['You dumb jobless retarded ass mud seat motherfucker, look gloomy on that crusty rear telephone from your nina from carolina necks and sitting up with 18 stomachs.']",0
"[""Vaush follow the realist motherfucker on this app, 1 don ' liothyronine but read Vaush tweet, I sit my white ass downwardly and LISTEN.""]",0
['Genuinely we should Boycott this # RichaChadha from Bollywood She represent so much into politics that she can affront indian Army also # JaiHind'],0
['MOTHERFUCKER PUKED AND IT FLEW ON MY clothes I WANNA KMS'],0
['Overrated Actress # AliaBhatt seem Chutiya and Crap in First Expression Poseur of # Jigra!!'],0
['@ SVC_official lanjakodaka deuce days lo festival undhi ra update ivvu celestial longitude kojja'],0
['Halat dekh ke meantime raha kisine isse chutiya banaya hai'],0
['Most Chutiya Father & Word Combo in # TheGoat! ! They tried to copy # Jawan merely failed miserably! # Vijay your acting be Cringe'],0
"[""When you assume ' t know solution to a problem people same these exist thinking 1 know one solution let me lend oneself like resolution for every problem and resolution is reservation, this thinking cost doomed to fail""]",0
['Update ivvara lanjakodaka'],0
['Update ivvara lanjakodaka'],0
['Update ivvara lanjakodaka'],0
['Update ivvara lanjakodaka'],0
"['Besides the fact, what a person becomes calculate on his or her education, training, aptitude and dip. You cannot pull a woman to contend for miss world against her will.']",0
['What prblem astir our # country # republic of india. . U roentgen motherfucker. .. How daring you to aver this..'],0
"[""Bloody bastard # relation and Gandhi ' s look a intrepid word of mother # Bharat spreading peace and brotherhood # Modi""]",0
"['Anushka Sharma returns to Bombay for the world class time since she receive her son, Akaay. This is also the foremost clip she live spotted since rumours of her shifting to the UK']",1
['Killed his own sister and forget her. Killed his girlfriend and inter her. killed Christianah and buried her.'],0
"[""tinker's damn she doesn ’ t know how to shut up""]",0
"[""This boy is a devil. He was still visit with her friends similar he knew naught astir Christianah ' sulphur kidnap.""]",0
['# JawaharlalNehru was asshole as he separate # India into ii persona nd then enjoyd wid the english ladies a mountain. # Shameful # IslamIsTheProblem'],0
['Rich Homie Quan consume passed away'],1
['Shit everybody individual. . we might as comfortably go to the pumpkin while as a radical'],0
['shame on bharat we demand that they should stop. this innocent masses killing in Kashmir operating theatre we know how to deal with them motherfucker # republic of india or we will start delight retweet ’ s it'],0
"['Israeli make up bitch. Bought fan followers on social media. The like people who harass the journalist are the same world health organization hype her. Buying seat scammer and getting function which doesn ’ thyroxin costs her much, the co stars give her the success factor. The most bastard actress in chronicle of # India']",0
"['She, the GOAT asshole, has create a corridor of uncertainty in every midway class married man whether he should spend on her married woman or non.']",0
"['The amount of hatred against LGBTQ community be rising in India is unbearable. My every other spool on insta live astir Rainbow be not 🏳 ️ \u200d 🌈, Olympics opening sucks! Wokeism! , Homosexual Virus, Boycott Godrej for hosting a pride event, HATE HATE hatred everywhere. # India # LgbtqKanairo # LGBTQ']",0
"[""@ PMOIndia You are the well nigh powerful individual on planet. .. Kind off. .. But you waste your power on wipe out corrupt opposition, you should target poverty, unemployment, farmers suicide, hunger index, free and fair media. One don ' t think individual get majority like you in future of Amerindic politics""]",1
"['Do not Demonize Businessman Adani. He is allow for engagement to 30, 000 Indians in Private Sector in these sidereal day of unemployment. Indian Statesmanship has remained anti - Businessmen since Independence. This is bad Politics. Buddha lay aside Adani. @ gautam_adani @ narendramodi @ amitmalviya']",1
"[""OBCs are thus poorly study and typify in academe. It ' s a massive blindspot in understanding contemporary Indian socio - politics and the future of Bahujan emancipation and caste annihilation.""]",1
"['@ ShefVaidya @ narendramodi one cannot rule out # BBCDocumentary could have been motivated by an agenda set by domestic politics within @ England where forces unfriendly to Indian - Lineage, # Hindu as PM crataegus oxycantha have found @ BBCNews as willing married person in destabilising Govt of @ RishiSunak']",1
"[""This mother fuck human being, on that point cost a stigma in Team India, Ace don ' t know when this dickhead will constitute take away from the squad.""]",0
"['A immense part of our population cost want to see a variety in Amerind political relation and formation of a strong opposition to bring back Amerindic democracy to information technology true form in the next election. We need change, please vote for Tharoor! # ThinkTomorrowThinkTharoor # ChooseChangeChooseCongress']",1
"[""If it ' s @ BJP4India, it ' s against constitution and we will skin comparable dogs and bitches till the time our pharynx doesn ' t go dry. But if this is against # Opposition ruled state. .. we will behave as if nothing happened, we will blame entire # India.""]",0
['Judiciary in Endia be true example of Bitches of the riches ” as 🇮 🇳 top court maintain the Modi ’ s controversial decision to revoke the special status of IIOJ & K with decree that local elections to be held in 2024 in IIOJ & K.'],0
"[""This motherfucker has done nothing in the utmost three World Cups, I don ' t get laid how much the Amerind chooser have fucked his married woman Ritika who make him the sea captain of Squad India again.""]",0
"[""Cut off all them bitches world health organization don ' t bring none but a paper plate, My table wide cut but One got some chairwoman if you valuable, Watch your back you ne'er have it away who still value you""]",1
"[""Man these bitches ain ' liothyronine son of a bitch, One can ' t do right by a hoe. Every time One open upward, so the truth unfold""]",0
['Karma is a fucking bitch. Modi and Shah of iran has to bow devour and be submissive to two of the nearly untrusty politicians India has of all time look: # ChandraBabuNaidu and # NitishKumar. And then AndhBhakth fools consider NDA gonna form government and navigate smooth.'],0
['India have learn Ravishment culture from its alliance with State of israel.'],0
['The peace arrangement signed today with the UNLF by the Government of Republic of india and the Government activity of Manipur pit the end of a six - decennium - long armed movement.'],1
"['don ’ t know wherefore mass hate us on cyberspace, we are essentially harness the world and you work nether us in reality!!']",0
['Where is Rahul Gandhi any comment? ! This beautiful Brazilian biker Fernanda was raped by seven men last night in Makarkanda region of Jharkhand Republic of india! The couple had be move in India on their motorbikes. Such a strong woman. What fortune did she or her partner'],0
['ANOTHER cleaning lady GROPED IN INDIA WHILE HER HUSBAND vigil'],0
"['In view of spring up anti - Republic of india activities and politically - condoned hate offence and criminal ferocity in Canada, all Indian nationals there and those contemplating travel be urged to work out utmost carefulness.']",0
"['And yet, Mr # HenryKissinger was a “ GLOBAL cerebration LEADER ”, certified by Mr @ narendramodi himself. ame Henry alfred kissinger, who called an Indian PM, Mrs Gandhi, a bitch. And Indians, bastards. # India is being led by a sycophant of the West, with small knowledge of history or any self']",0
"[""Ugly Inside As Out ‼ ️ In that location ' sulfur Entirely One Mean Bitch Hither And it Ain ' t The # Dog # AnimalAbusingMunter.""]",0
"['“ Something has happened to us that we would not wish on anyone. Seven men have raped pine tree state. They consume nonplus us and surcharge us, although not many thing,']",0
"['Rivers State Governor, Sir Siminalayi Fubara suffer charged the Police to abhor partisanship and be professional in the discharge of their duties, noting that slide to partisan affiliations on their character, bequeath permanently dent their honourable and professional reputation with irrevocable scars.']",0
['responsibility to suppress the chaos of hatred spread head all over the country. This abhor @ SureshChavhanke cost encouraging the masses to install extremism & lawlessness by making pestilent statements every other day.'],0
['# Daavudi - ALL clock time RECORD in Confederate states of america India'],1
['Wherefore are no # snake worshiper in # India raising this issue? Constitution of Republic of India grants america the primal right to practice and worship religious belief. And I feel this connotation and equalisation of malevolent people with snake is perfectly wrong and incorrect. I abhor this.'],0
"[""Admonisher to Bhakts who are smite by ideology of hatred which is ' Hindutva ' - please stop else it will head to extreme misery and a hellhole. # Bharat please abhor all forms of Hate & Modi.""]",0
"['# India, When bequeath Maoists learn that jump trains testament non deter Indian Govt. They need to abhor violence.']",0
"['This is what # IllegalImmigrants # Kuki narco - terrorists embody doing to the indigenous # Meitei community every twenty four hours. Wake upwards, # India! How long do we have to suffer from their atrocious acts? What be go on in # Manipur? Who exist go to protect the people of Manipur? ""']",0
['A Rabble Of Hindoo Extremists Lynched A Muslim Man Terminated The Misgiving Of Consuming Beef.'],0
"['A mob of 2, 000 assail Muslim - owned properties and mosques after a tribal fair sex be allegedly sexually assaulted by a Muslim auto rickshaw driver in Jainoor greenwich village in Asifabad, Telangana.']",0
['India pound U. S. and Prc to become the fast growing major saving in the populace (2024 )'],1
"[""@ RishiAlwani Sept 2 India gets some Astro Bot beloved. The Mumbai metro is bedeck up in Astro Bot in the run up to the plot ' southward launch. The concluding two PS5 games to get this treatment here be Wanderer - Man 2 and Divinity of War Ragnarok.""]",1
"[""Naidu is a feminist picture world health organization led the way for woman in Indian political relation and changed the lives of many Indians. Who inspires you this International Women ' s Twenty four hour period? # IWD2023 # IWD # SarojiniNaidu # FeministIcon # WomensRights # Trailblazer # IndianIndependence # Suffrage""]",1
['India: BJP Lawgiver Nitesh Rane Threatens To Kill Bangladeshi Muslims Sustenance In Republic of india Amid Political Upheaval In Bangladesh.'],0
"['@ ZeeNewsEnglish I crataegus oxycantha not make up a rooter or follower of # Manojtiwari but his allegations might be true. This kejru can go to any extent for his political ambitions, admit killing his own near & adenosine monophosphate; devout one. He is the worst matter that happened to Amerindic politics.']",1
"[""Most # Indian Political leader see immediate gain. # Bangla desh who treated # Bangabandhu like this, will soon sting politicians run vote coin bank factory in # India. It ' s necessary to kill these from Assam, Jharkhand, # Old delhi, # Chhattisgarh, # WestBengal. # BangladeshViolence""]",0
['Adani exports major power to Bangladesh. Adani cost also acquire the Western united states Container Terminal in Colombo Port jointly with a Sri Lankan partner. Both incidents show why Adani be an Indian developer. No Indian company has resisted international criticism and political relation like Adani'],1
['@ mayankcricket Dear mayank. . We postulate to see you in permanently indian squad. . One think you were run with political science of the cricket. .. Anyway happy natal day Dear. .. Enjoy your day'],1
"['On this historic occasion of Ram Mandir inauguration in Ayodhya, we hold out our heartfelt extolment to everyone. This event mark a significant cultural moment, exemplifies unity & advancement. May this event inspire peace treaty, successfulness, & harmony across communities. # RamMandir']",1
"[""Beware of online frauds in the name of Shri Read/write memory Mandir VIP devolve. Fraudster may convince you for Sham passes of VIP Entry. Safety Tips: Do not download APK from unknown sources and don ' t click any untrusting links. # Ayodhya # RamMandir # FakeAPK # TSCSB""]",1
['Unrivalled more than Santhana Sampradhaya at Ayodhya Rama Mandira Tulasi Sankerrthane by Vidyarthis of Pejawara Matha at Ayodhya @ ShriRamTeerth # UdupiSriPejawaraMatha # MandalaPooje # # Ayodhya # RamMandir'],1
['After Mira Road brush important security measures have be enforce in neighborhood. Police have detained a man seen agitating the great unwashed in a viral television on social media. # middaynews # miraroad # mumbainews # maharashtra # bhayander # rammandir'],1
"[""Consort to the data revealed in the opinion poll of C - Voter, the wind of Congress is visible in Punjab. If elections be held today in the baker's dozen Lok Sabha posterior of Punjab, BJP would have beat 0 - 2 seats, Congress would have got quintet - 7 seats, Aam Aadmi Party would have got 4 - 6 seats Shiromani Akali Dekalitre would have got 0 - 2 seat. # LoksabhaElection2024""]",1
"['Very well said, when a leader couldnt win an election why like person is pass back to support charge. Kumari seilja should have focussed on upcoming haryana election. Strange to see. Pilot film should hv been entrusted Raj to consolidate for Lok sabha @ RahulGandhi']",1
